,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
2004,L,1,0,1,2,2,190507_002754,2632.0,1,2,2,Standard,Standard,0,0_0,fb:1_sb:0_tb:1
424,L,0,0,0,2,5,190904_002456,2586.0,1,4,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2578,R,0,0,0,1,5,190403_011354,1755.0,3,2,0,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
501,L,0,0,1,1,5,190829_003421,2458.0,1,2,5,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
612,R,0,0,0,2,3,190823_001734,1607.0,4,1,2,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1089,R,0,0,1,0,6,190620_004508,2409.0,1,0,1,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
896,L,0,0,0,0,5,190630_183126,2464.0,2,0,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
132,L,0,0,0,1,6,190918_190116,2379.0,3,2,0,Infield shift,Standard,0,2_0,fb:0_sb:0_tb:0
1042,R,0,1,0,2,1,190625_233134,2358.0,1,0,0,Standard,Standard,0,0_0,fb:0_sb:1_tb:0
1850,L,0,0,1,2,5,190512_024752,1445.0,7,2,0,Standard,Standard,0,2_2,fb:1_sb:0_tb:0
1422,R,0,0,0,1,5,190602_185045,1693.0,6,1,2,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
220,R,1,0,1,1,5,190914_003732,2421.0,4,2,0,Standard,Standard,1,2_1,fb:1_sb:0_tb:1
2555,L,0,0,0,2,1,190407_172212,2502.0,1,0,0,Strategic,Standard,0,0_0,fb:0_sb:0_tb:0
1438,R,0,1,1,2,4,190602_183506,2683.0,1,1,2,Standard,Standard,0,0_0,fb:1_sb:1_tb:0
2726,R,0,0,1,2,3,190328_174652,1711.0,5,1,0,Standard,Standard,1,2_2,fb:1_sb:0_tb:0
2167,L,0,0,1,1,7,190427_004642,2292.0,5,2,2,Standard,Standard,1,3_1,fb:1_sb:0_tb:0
2190,R,0,0,0,1,6,190427_002727,2451.0,2,1,2,Standard,Strategic,1,0_1,fb:0_sb:0_tb:0
64,L,0,0,0,1,2,190924_233615,1546.0,6,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
1899,L,0,0,0,2,3,190512_020137,2566.0,5,0,0,Infield shift,Standard,0,2_2,fb:0_sb:0_tb:0
437,L,0,1,0,2,4,190904_000802,2841.0,1,4,1,Strategic,Standard,1,0_0,fb:0_sb:1_tb:0
50,R,0,0,0,2,3,190924_235446,2433.0,2,3,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
490,R,0,0,0,1,1,190903_230813,2395.0,2,0,0,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
1418,L,0,0,0,0,6,190602_190422,2530.0,2,1,2,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
207,L,0,0,0,0,1,190918_172809,2419.0,3,0,0,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
2208,R,0,0,0,0,5,190427_001152,2525.0,1,0,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2082,R,0,0,0,1,6,190502_004424,2462.0,1,3,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1271,L,0,0,0,1,1,190614_230655,2587.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2702,L,0,0,0,0,6,190328_182744,1611.0,1,1,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
2267,R,0,1,0,1,6,190421_000055,2398.0,1,4,3,Standard,Standard,0,0_0,fb:0_sb:1_tb:0
1373,L,0,0,0,0,1,190609_022505,2524.0,4,0,1,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
1143,L,0,0,0,2,2,190619_232836,2567.0,4,0,0,Infield shift,Standard,1,2_1,fb:0_sb:0_tb:0
365,L,0,0,0,0,3,190908_181355,2222.0,4,1,4,Strategic,Standard,0,2_1,fb:0_sb:0_tb:0
543,L,0,0,1,2,3,190828_235704,3205.0,2,0,5,Standard,Standard,1,0_1,fb:1_sb:0_tb:0
1570,R,1,0,0,2,2,190527_173130,2490.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:1
1027,L,0,0,0,2,2,190625_234601,2385.0,3,0,0,Infield shift,Standard,0,0_2,fb:0_sb:0_tb:0
494,L,0,0,0,0,1,190903_230634,1454.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
299,L,0,0,0,1,1,190913_230908,2700.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
588,R,0,0,0,2,4,190823_004042,2426.0,5,1,2,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1424,R,0,0,0,1,5,190602_184956,1712.0,4,1,2,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1980,R,0,0,0,2,4,190507_011038,2579.0,1,2,2,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
244,L,0,1,0,1,4,190914_000727,2722.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:1_tb:0
814,L,0,0,0,1,2,190706_203350,2376.0,3,0,1,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
656,L,0,0,0,0,1,190822_232910,2557.0,1,0,2,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
2510,L,0,0,0,0,4,190407_182528,2676.0,5,1,5,Infield shift,Standard,0,1_2,fb:0_sb:0_tb:0
859,R,0,0,0,0,8,190630_193701,2475.0,2,1,2,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
110,R,0,0,0,2,7,190918_192422,2396.0,3,2,1,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
870,L,0,0,0,0,7,190630_191042,1468.0,2,0,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
2549,L,0,0,0,0,2,190407_174654,2554.0,6,0,5,Infield shift,Standard,0,3_2,fb:0_sb:0_tb:0
1261,R,0,0,1,2,1,190614_231258,,4,0,0,Standard,Standard,1,1_2,fb:1_sb:0_tb:0
1219,R,0,0,0,0,5,190615_001616,1637.0,5,2,3,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1095,L,0,0,0,0,6,190620_004209,1414.0,1,0,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
2095,L,0,0,0,1,5,190502_002733,2532.0,1,3,1,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
2234,R,0,0,0,2,2,190426_232755,2358.0,6,0,0,Standard,Standard,1,3_2,fb:0_sb:0_tb:0
1815,L,0,1,1,0,1,190517_230737,2503.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:1_tb:0
42,R,0,0,0,0,4,190925_001628,2491.0,2,4,1,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
1693,L,0,0,1,1,1,190522_232645,1675.0,4,0,1,Standard,Strategic,0,1_2,fb:1_sb:0_tb:0
71,R,0,0,0,0,2,190924_233311,2547.0,4,3,0,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
1984,R,0,0,0,0,4,190507_010850,1479.0,4,2,2,Strategic,Standard,0,1_2,fb:0_sb:0_tb:0
