,stand,on_3b,on_2b,on_1b,outs_when_up,inning,sv_id,release_spin_rate,pitch_number,opp_score,nats_score,if_fielding_alignment,of_fielding_alignment,nats_home1_away0,balls_strikes,all_runners
624,R,1,0,1,2,2,190823_000029,2416.0,3,0,2,Standard,Standard,0,1_1,fb:1_sb:0_tb:1
2635,L,0,0,0,1,2,190403_001237,2510.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1779,R,0,0,0,0,3,190517_234828,2457.0,2,3,0,Infield shift,Standard,1,1_0,fb:0_sb:0_tb:0
2192,R,0,0,0,0,6,190427_002629,2539.0,3,1,2,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
2656,L,0,1,1,0,1,190402_234919,2570.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:1_tb:0
1736,R,0,0,1,0,5,190518_003710,2606.0,3,3,2,Standard,Standard,1,0_2,fb:1_sb:0_tb:0
453,L,0,0,0,1,3,190903_234848,1557.0,3,0,1,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
756,R,0,0,1,1,6,190706_215546,2465.0,3,0,4,Standard,Standard,1,2_0,fb:1_sb:0_tb:0
177,L,0,0,0,1,3,190918_175840,2440.0,3,0,0,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
1749,R,0,1,1,1,4,190518_001840,2412.0,6,3,2,Standard,Standard,1,2_2,fb:1_sb:1_tb:0
1782,L,0,0,0,2,2,190517_233735,1681.0,5,3,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
1758,L,0,0,1,1,4,190518_001359,2498.0,3,3,2,Infield shift,Standard,1,2_0,fb:1_sb:0_tb:0
606,L,1,0,0,2,3,190823_002046,2483.0,5,1,2,Infield shift,Standard,0,2_2,fb:0_sb:0_tb:1
2727,R,0,0,1,2,3,190328_174620,2512.0,4,1,0,Standard,Standard,1,2_1,fb:1_sb:0_tb:0
1904,L,0,0,0,1,3,190512_015946,2374.0,2,0,0,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
2111,R,0,1,0,0,4,190501_235956,2496.0,4,3,0,Standard,Standard,1,1_2,fb:0_sb:1_tb:0
295,L,0,0,1,1,1,190913_231115,2328.0,3,0,0,Infield shift,Standard,1,1_1,fb:1_sb:0_tb:0
351,R,0,0,0,2,3,190908_181951,2504.0,8,1,4,Infield shift,Standard,0,3_2,fb:0_sb:0_tb:0
1588,L,0,0,1,2,1,190527_171450,2423.0,2,0,0,Infield shift,Strategic,1,1_0,fb:1_sb:0_tb:0
48,R,0,0,0,2,3,190924_235535,2576.0,4,3,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1255,R,0,0,0,1,2,190614_232446,2506.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1943,L,0,1,1,1,6,190507_015325,2499.0,4,2,2,Infield shift,Standard,0,3_0,fb:1_sb:1_tb:0
1152,L,0,0,0,1,2,190619_232509,2620.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
2434,R,0,0,1,0,3,190414_181308,2646.0,3,2,1,Standard,Standard,1,0_2,fb:1_sb:0_tb:0
92,L,0,0,0,1,1,190924_230914,2415.0,4,0,0,Infield shift,Standard,1,2_1,fb:0_sb:0_tb:0
354,R,0,0,0,2,3,190908_181811,,5,1,4,Infield shift,Standard,0,2_2,fb:0_sb:0_tb:0
1573,R,0,1,0,1,2,190527_173002,2491.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:1_tb:0
2615,L,0,0,0,2,3,190403_003230,2250.0,1,1,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
152,L,0,0,0,0,5,190918_182843,2692.0,1,1,0,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
716,L,0,0,0,2,2,190725_202528,1734.0,7,0,0,Strategic,Standard,1,3_2,fb:0_sb:0_tb:0
1935,L,0,0,0,0,1,190512_012538,2597.0,1,0,0,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
1117,R,0,0,0,0,4,190620_000413,2527.0,3,0,1,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
641,R,0,0,0,2,1,190822_233441,2338.0,4,0,2,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
1947,R,0,0,1,1,6,190507_015024,2638.0,4,2,2,Standard,Standard,0,2_1,fb:1_sb:0_tb:0
1957,L,0,0,0,0,6,190507_014548,2489.0,2,2,2,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
1195,R,0,0,0,1,6,190615_003625,2608.0,4,2,3,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1459,R,0,0,0,2,3,190602_180442,2441.0,3,0,1,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
816,L,0,0,0,1,2,190706_203301,2519.0,1,0,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
916,R,0,0,0,2,3,190630_175407,2215.0,2,0,0,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
2736,L,0,0,0,2,3,190328_174239,2421.0,1,1,0,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
1662,L,0,1,0,2,3,190522_235643,1637.0,3,0,1,Standard,Standard,0,0_2,fb:0_sb:1_tb:0
1690,R,1,1,0,1,1,190522_232903,2482.0,2,0,1,Standard,Standard,0,0_1,fb:0_sb:1_tb:1
2700,L,0,0,0,0,6,190328_182823,2537.0,3,1,0,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
1905,L,0,0,0,1,3,190512_015920,2487.0,1,0,0,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
761,L,0,0,0,1,6,190706_215319,2515.0,3,0,4,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
2465,L,0,1,1,1,7,190407_195412,2531.0,3,1,12,Standard,Standard,0,2_0,fb:1_sb:1_tb:0
2112,R,0,1,0,0,4,190501_235926,2273.0,3,3,0,Standard,Standard,1,1_1,fb:0_sb:1_tb:0
2613,L,0,0,0,2,3,190403_003320,2397.0,3,1,0,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
2581,R,0,0,0,0,5,190403_011236,1807.0,4,2,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1582,R,0,0,0,0,2,190527_172550,2796.0,1,0,0,Standard,Strategic,1,0_0,fb:0_sb:0_tb:0
950,L,0,0,0,2,1,190630_172527,1400.0,4,0,0,Standard,Standard,0,2_1,fb:0_sb:0_tb:0
2330,R,0,0,0,0,3,190420_230248,2455.0,1,2,2,Standard,Strategic,0,0_0,fb:0_sb:0_tb:0
1236,L,0,0,0,0,4,190615_000036,1601.0,2,1,3,Strategic,Standard,1,1_0,fb:0_sb:0_tb:0
2149,R,0,0,1,1,1,190501_230900,2486.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
2087,R,0,0,0,2,5,190502_003034,2360.0,3,3,1,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
300,R,0,0,0,0,1,190913_230832,2300.0,9,0,0,Standard,Standard,1,3_2,fb:0_sb:0_tb:0
1995,L,0,0,0,1,3,190507_005613,2388.0,1,2,2,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
2457,L,0,1,0,2,1,190414_173917,2529.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
136,R,0,0,0,0,6,190918_185931,2301.0,2,2,0,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
2505,R,0,0,0,1,4,190407_182721,2643.0,3,1,5,Strategic,Strategic,0,0_2,fb:0_sb:0_tb:0
1098,R,0,0,0,1,5,190620_003035,2452.0,4,0,1,Standard,Standard,1,0_2,fb:0_sb:0_tb:0
764,L,0,0,0,0,6,190706_215209,2426.0,4,0,4,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
2500,R,0,0,0,0,5,190407_185523,2492.0,1,1,7,Standard,Strategic,0,0_0,fb:0_sb:0_tb:0
251,R,0,0,0,0,4,190914_000404,1515.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
858,R,0,0,0,0,8,190630_193717,2380.0,3,1,2,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
120,R,0,0,0,0,7,190918_192001,2265.0,3,2,1,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
2051,R,1,0,1,1,7,190502_011348,2385.0,4,3,1,Standard,Standard,1,1_2,fb:1_sb:0_tb:1
1616,R,0,0,1,2,5,190523_004725,2458.0,7,0,1,Standard,Standard,0,3_2,fb:1_sb:0_tb:0
1860,R,0,0,1,1,5,190512_024159,2573.0,2,2,0,Standard,Standard,0,0_1,fb:1_sb:0_tb:0
1293,R,0,0,0,1,6,190609_035100,2516.0,4,0,4,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
1401,R,0,0,0,0,7,190602_192618,2562.0,2,1,2,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
1720,L,0,0,1,0,6,190518_010547,2571.0,2,3,2,Standard,Standard,1,1_0,fb:1_sb:0_tb:0
335,R,1,1,0,1,4,190908_183840,2420.0,2,1,4,Standard,Standard,0,0_1,fb:0_sb:1_tb:1
258,L,0,0,0,2,3,190913_235305,2321.0,4,0,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
1070,L,0,0,0,0,7,190620_010520,2508.0,5,0,1,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1489,L,0,0,0,2,1,190602_173413,2533.0,1,0,1,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
1609,R,0,0,0,0,6,190523_011008,2418.0,2,0,1,Standard,Standard,0,1_0,fb:0_sb:0_tb:0
2209,R,0,0,0,2,4,190426_235914,2482.0,5,0,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
642,R,0,0,0,2,1,190822_233422,2440.0,3,0,2,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
869,R,0,0,0,1,7,190630_191116,,1,0,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
528,L,0,0,0,0,4,190829_001341,2367.0,4,1,5,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
1859,R,0,0,1,1,5,190512_024227,2481.0,3,2,0,Standard,Standard,0,1_1,fb:1_sb:0_tb:0
567,L,0,0,0,1,2,190828_233744,1160.0,2,0,5,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
2261,L,1,1,0,1,6,190421_000513,1522.0,4,4,3,Strategic,Strategic,0,1_2,fb:0_sb:1_tb:1
2641,R,0,1,1,2,1,190402_235903,2275.0,3,0,0,Standard,Standard,1,1_1,fb:1_sb:1_tb:0
2153,L,0,0,0,0,1,190501_230701,1518.0,5,0,0,Infield shift,Standard,1,2_2,fb:0_sb:0_tb:0
697,L,0,0,0,0,4,190725_210938,2492.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
945,L,0,0,0,0,2,190630_173338,1583.0,4,0,0,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
2630,R,0,0,0,2,2,190403_001418,2415.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1598,L,0,0,0,0,1,190527_171041,2514.0,2,0,0,Infield shift,Strategic,1,1_0,fb:0_sb:0_tb:0
1253,R,0,0,0,2,2,190614_232546,2348.0,1,0,0,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1366,R,0,0,0,1,1,190609_022731,2468.0,6,0,1,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
1721,L,0,0,1,0,6,190518_010503,2566.0,1,3,2,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
1651,R,0,1,0,1,4,190523_001233,2477.0,1,0,1,Standard,Standard,0,0_0,fb:0_sb:1_tb:0
204,L,0,0,0,1,1,190918_172924,2270.0,1,0,0,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
291,R,0,0,1,2,1,190913_231348,2345.0,3,0,0,Standard,Standard,1,1_1,fb:1_sb:0_tb:0
1506,R,0,1,0,0,6,190527_184142,2550.0,7,1,2,Standard,Standard,1,2_2,fb:0_sb:1_tb:0
2006,L,1,1,0,2,2,190507_002637,1428.0,2,1,2,Standard,Standard,0,1_0,fb:0_sb:1_tb:1
984,L,0,0,0,0,7,190626_010213,2496.0,3,1,6,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
721,L,0,0,0,2,2,190725_202332,2377.0,2,0,0,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
114,R,0,0,0,1,7,190918_192220,2281.0,6,2,1,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
2189,R,0,0,0,1,6,190427_002742,2454.0,3,1,2,Standard,Strategic,1,0_2,fb:0_sb:0_tb:0
477,R,0,0,0,0,2,190903_232546,2507.0,4,0,1,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
2286,R,0,0,0,1,5,190420_234146,2543.0,4,4,3,Standard,Standard,0,1_2,fb:0_sb:0_tb:0
2463,L,0,0,0,0,1,190414_173545,2419.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1062,L,0,1,0,1,7,190620_010945,2569.0,2,0,1,Standard,Standard,1,1_0,fb:0_sb:1_tb:0
2606,R,0,0,0,0,4,190403_004952,2286.0,3,1,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
142,L,0,0,0,2,5,190918_183444,2562.0,1,2,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
956,R,0,0,0,1,1,190630_172321,2531.0,1,0,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
2404,R,0,0,1,1,5,190414_185244,,4,3,3,Standard,Standard,1,2_1,fb:1_sb:0_tb:0
615,R,0,0,0,2,3,190823_001647,2485.0,1,1,2,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
2765,R,0,0,0,1,1,190328_170842,2632.0,2,0,0,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
864,L,0,0,0,2,7,190630_191328,2755.0,1,1,1,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
667,L,0,0,0,1,5,190725_213427,2791.0,3,3,0,Infield shift,Standard,1,2_0,fb:0_sb:0_tb:0
367,L,0,0,0,0,3,190908_181325,2350.0,2,1,4,Strategic,Standard,0,0_1,fb:0_sb:0_tb:0
645,L,0,0,0,1,1,190822_233318,2448.0,6,0,2,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
1333,R,0,0,0,2,3,190609_030131,2352.0,2,0,1,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
343,R,0,0,0,1,4,190908_183409,,2,1,4,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
776,R,0,0,0,1,5,190706_213623,2501.0,2,0,4,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1479,L,0,0,1,1,2,190602_174626,1483.0,4,0,1,Infield shift,Standard,0,1_2,fb:1_sb:0_tb:0
2251,R,0,0,0,1,1,190426_230756,2430.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
1267,L,0,0,0,1,1,190614_230818,1770.0,5,0,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
2338,R,0,1,0,1,2,190420_224528,2387.0,4,2,0,Standard,Strategic,0,1_2,fb:0_sb:1_tb:0
2007,L,1,1,0,2,2,190507_002615,2602.0,1,1,2,Standard,Standard,0,0_0,fb:0_sb:1_tb:1
1003,L,0,0,1,2,4,190626_002909,2488.0,3,1,6,Infield shift,Standard,0,0_2,fb:1_sb:0_tb:0
2600,R,0,0,0,1,4,190403_005220,1554.0,3,1,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
1575,R,0,0,1,0,2,190527_172842,2332.0,2,0,0,Standard,Standard,1,0_1,fb:1_sb:0_tb:0
91,L,0,0,0,1,1,190924_230938,1483.0,5,0,0,Infield shift,Standard,1,3_1,fb:0_sb:0_tb:0
301,R,0,0,0,0,1,190913_230810,1434.0,8,0,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1648,R,0,1,0,1,4,190523_001346,2450.0,4,0,1,Standard,Standard,0,1_2,fb:0_sb:1_tb:0
2159,R,1,0,1,1,7,190427_005120,2298.0,7,2,2,Strategic,Standard,1,3_2,fb:1_sb:0_tb:1
786,L,0,0,0,1,4,190706_211945,2491.0,1,0,4,Infield shift,Standard,1,0_0,fb:0_sb:0_tb:0
1469,L,0,0,0,0,3,190602_180041,2371.0,1,0,1,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
611,R,0,0,0,2,3,190823_001757,2302.0,5,1,2,Standard,Standard,0,2_2,fb:0_sb:0_tb:0
1193,R,0,0,0,1,6,190615_003723,2309.0,6,2,3,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
2757,L,0,0,0,2,1,190328_171205,1710.0,3,0,0,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
976,L,0,0,0,2,7,190626_010540,2533.0,3,1,6,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
983,L,0,0,0,1,7,190626_010246,2579.0,1,1,6,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
29,L,0,0,0,0,5,190925_003605,2468.0,2,4,2,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
582,L,0,0,0,0,1,190828_230724,1880.0,4,0,0,Standard,Strategic,1,1_2,fb:0_sb:0_tb:0
1494,R,0,0,0,0,1,190602_173206,2403.0,3,0,1,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
19,L,0,0,0,2,5,190925_004011,2426.0,5,4,2,Standard,Standard,1,3_1,fb:0_sb:0_tb:0
1484,R,0,0,1,0,2,190602_174401,2397.0,2,0,1,Standard,Standard,0,1_0,fb:1_sb:0_tb:0
273,R,0,1,1,1,2,190913_233149,2420.0,4,0,0,Standard,Standard,1,2_1,fb:1_sb:1_tb:0
2180,R,0,0,0,0,7,190427_003913,1512.0,4,1,2,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
428,L,0,0,0,0,5,190904_002307,1532.0,2,4,1,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1645,R,0,1,0,1,4,190523_001508,2544.0,7,0,1,Standard,Standard,0,3_2,fb:0_sb:1_tb:0
2654,L,0,1,1,0,1,190402_235020,2602.0,3,0,0,Standard,Standard,1,0_2,fb:1_sb:1_tb:0
715,R,0,0,1,2,2,190725_202603,2489.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
1398,L,0,0,0,1,7,190602_192738,2543.0,1,1,2,Infield shift,Standard,0,0_0,fb:0_sb:0_tb:0
1079,L,0,0,1,2,6,190620_005149,2430.0,2,0,1,Standard,Standard,1,1_0,fb:1_sb:0_tb:0
1552,R,0,0,0,1,3,190527_174933,2362.0,5,0,0,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
1684,R,1,1,0,2,1,190522_233206,2511.0,3,0,1,Standard,Standard,0,0_2,fb:0_sb:1_tb:1
690,L,0,0,0,1,4,190725_211205,2476.0,3,0,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
2609,L,0,0,0,2,3,190403_003514,2452.0,7,1,0,Infield shift,Standard,1,3_2,fb:0_sb:0_tb:0
2429,L,0,1,0,2,3,190414_181657,2429.0,1,3,1,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
1791,R,0,0,1,1,2,190517_233351,1489.0,3,1,0,Standard,Standard,1,0_2,fb:1_sb:0_tb:0
2306,R,0,0,0,0,4,190420_232241,2338.0,2,3,2,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
1830,R,0,0,0,1,7,190512_031207,2584.0,1,2,0,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
987,L,0,0,0,2,6,190626_005311,1514.0,3,1,6,Standard,Standard,0,2_0,fb:0_sb:0_tb:0
884,R,0,0,0,0,6,190630_184519,2558.0,3,0,1,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
660,R,0,0,1,1,5,190725_213811,2475.0,5,3,0,Standard,Standard,1,2_2,fb:1_sb:0_tb:0
1911,R,1,0,0,2,2,190512_014736,,4,0,0,Standard,Standard,0,2_1,fb:0_sb:0_tb:1
855,R,0,0,0,0,8,190630_193822,2358.0,6,1,2,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
842,L,0,0,1,0,1,190706_200709,2396.0,1,0,0,Strategic,Strategic,1,0_0,fb:1_sb:0_tb:0
2631,L,0,0,0,1,2,190403_001344,2525.0,5,0,0,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
377,R,0,0,0,1,2,190908_175829,2278.0,1,1,3,Standard,Standard,0,0_0,fb:0_sb:0_tb:0
1406,L,0,0,0,2,6,190602_190849,2491.0,3,1,2,Standard,Standard,0,1_1,fb:0_sb:0_tb:0
529,L,0,0,0,0,4,190829_001325,2511.0,3,1,5,Infield shift,Standard,1,0_2,fb:0_sb:0_tb:0
1717,L,0,1,0,1,6,190518_010730,2544.0,1,3,2,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
2507,R,0,0,0,1,4,190407_182646,2573.0,1,1,5,Strategic,Strategic,0,0_0,fb:0_sb:0_tb:0
2515,L,0,0,1,2,3,190407_181451,2583.0,3,1,5,Standard,Standard,0,0_2,fb:1_sb:0_tb:0
229,R,0,0,0,0,5,190914_003148,1465.0,2,2,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1908,R,0,0,0,0,3,190512_015757,2532.0,2,0,0,Standard,Standard,0,0_1,fb:0_sb:0_tb:0
1378,L,0,1,0,2,8,190602_200058,2452.0,2,1,4,Standard,Standard,0,0_1,fb:0_sb:1_tb:0
278,R,0,1,1,0,2,190913_232903,2506.0,4,0,0,Standard,Standard,1,1_2,fb:1_sb:1_tb:0
705,R,0,0,0,1,3,190725_204645,2364.0,5,0,0,Strategic,Strategic,1,3_1,fb:0_sb:0_tb:0
1222,R,0,0,0,0,5,190615_001519,2351.0,2,2,3,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
717,L,0,0,0,2,2,190725_202501,2437.0,6,0,0,Strategic,Standard,1,3_2,fb:0_sb:0_tb:0
2363,L,0,0,0,0,1,190420_222039,2522.0,4,0,0,Infield shift,Standard,0,1_2,fb:0_sb:0_tb:0
1468,L,0,0,0,0,3,190602_180057,,2,0,1,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
1666,R,0,0,0,2,3,190522_235355,2600.0,6,0,1,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
651,L,0,0,0,0,1,190822_233057,2578.0,6,0,2,Standard,Strategic,0,1_2,fb:0_sb:0_tb:0
569,L,0,0,0,0,2,190828_233645,2745.0,3,0,5,Infield shift,Standard,1,1_1,fb:0_sb:0_tb:0
1242,L,0,0,0,1,3,190614_234100,2504.0,3,1,0,Standard,Standard,1,2_0,fb:0_sb:0_tb:0
674,L,0,0,0,2,4,190725_212104,2401.0,3,3,0,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
2698,R,0,0,0,1,6,190328_182912,2383.0,2,1,0,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
43,R,0,0,0,0,4,190925_001612,2474.0,1,4,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
423,L,0,0,0,2,5,190904_002511,1548.0,2,4,1,Standard,Standard,1,1_0,fb:0_sb:0_tb:0
35,L,0,0,0,1,4,190925_001918,2497.0,2,4,1,Infield shift,Standard,1,0_1,fb:0_sb:0_tb:0
2365,L,0,0,0,0,1,190420_222010,2511.0,2,0,0,Infield shift,Standard,0,0_1,fb:0_sb:0_tb:0
998,R,0,0,0,1,5,190626_004004,2326.0,2,1,6,Standard,Strategic,0,1_0,fb:0_sb:0_tb:0
873,L,0,0,1,2,6,190630_185053,2767.0,3,0,1,Standard,Standard,0,2_0,fb:1_sb:0_tb:0
2187,R,0,0,0,2,6,190427_002838,2557.0,1,1,2,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
247,L,0,0,0,1,4,190914_000555,2560.0,2,0,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1994,L,0,0,0,1,3,190507_005633,1487.0,2,2,2,Infield shift,Standard,0,1_0,fb:0_sb:0_tb:0
912,R,0,0,0,0,4,190630_181134,2458.0,4,0,1,Standard,Standard,0,0_2,fb:0_sb:0_tb:0
1058,R,0,1,0,2,7,190620_011213,,1,0,1,Standard,Standard,1,0_0,fb:0_sb:1_tb:0
1211,L,0,0,0,2,5,190615_001918,2422.0,3,2,3,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
1576,R,0,0,1,0,2,190527_172810,2411.0,1,0,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
2130,R,0,0,0,2,2,190501_233343,2446.0,2,3,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
2412,R,0,0,0,0,5,190414_184806,2383.0,1,3,3,Standard,Strategic,1,0_0,fb:0_sb:0_tb:0
2059,R,0,1,0,0,7,190502_010836,2389.0,2,3,1,Standard,Standard,1,0_1,fb:0_sb:1_tb:0
58,R,0,0,0,2,2,190924_233854,2407.0,4,3,0,Standard,Standard,1,2_1,fb:0_sb:0_tb:0
728,L,0,0,0,2,1,190725_201134,2425.0,6,0,0,Standard,Standard,1,3_2,fb:0_sb:0_tb:0
2049,R,1,0,1,1,7,190502_011502,2601.0,6,3,1,Standard,Standard,1,2_2,fb:1_sb:0_tb:1
421,L,0,0,0,2,5,190904_002556,2439.0,4,4,1,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
257,L,0,0,0,2,3,190913_235329,2405.0,5,0,0,Infield shift,Standard,1,1_2,fb:0_sb:0_tb:0
1793,R,0,0,1,1,2,190517_233235,2215.0,1,1,0,Standard,Standard,1,0_0,fb:1_sb:0_tb:0
1049,R,0,0,0,0,1,190625_232727,2535.0,6,0,0,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
408,L,0,0,0,2,6,190904_004058,2499.0,5,4,1,Standard,Standard,1,2_2,fb:0_sb:0_tb:0
1104,L,0,0,0,0,5,190620_002808,2728.0,1,0,1,Standard,Standard,1,0_0,fb:0_sb:0_tb:0
1047,R,0,0,0,0,1,190625_232829,,8,0,0,Standard,Standard,0,3_2,fb:0_sb:0_tb:0
411,L,0,0,0,2,6,190904_003946,2422.0,2,4,1,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1492,R,0,0,0,0,1,190602_173242,2354.0,5,0,1,Standard,Standard,0,2_2,fb:0_sb:0_tb:0
2742,R,0,0,0,0,3,190328_174015,2590.0,2,1,0,Standard,Standard,1,0_1,fb:0_sb:0_tb:0
1448,L,0,1,0,0,4,190602_182905,2579.0,3,1,2,Standard,Standard,0,2_0,fb:0_sb:1_tb:0
1288,R,0,0,1,2,6,190609_035327,1349.0,3,0,4,Standard,Standard,0,1_1,fb:1_sb:0_tb:0
2334,L,0,1,0,2,2,190420_224709,2430.0,3,2,0,Strategic,Strategic,0,1_1,fb:0_sb:1_tb:0
2490,L,0,0,0,2,5,190407_185857,2489.0,4,1,7,Infield shift,Standard,0,2_1,fb:0_sb:0_tb:0
575,L,0,0,1,2,1,190828_231052,2474.0,3,0,0,Infield shift,Standard,1,1_1,fb:1_sb:0_tb:0
150,L,0,0,0,0,5,190918_182922,2399.0,3,1,0,Infield shift,Standard,0,1_1,fb:0_sb:0_tb:0
2065,R,0,0,0,0,7,190502_010530,2436.0,3,3,1,Standard,Standard,1,1_1,fb:0_sb:0_tb:0
2420,L,0,0,0,1,4,190414_183445,1481.0,4,3,3,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
2395,L,0,0,0,1,6,190414_190318,2321.0,4,3,3,Standard,Standard,1,1_2,fb:0_sb:0_tb:0
68,L,0,0,0,1,2,190924_233433,2755.0,2,3,0,Infield shift,Standard,1,1_0,fb:0_sb:0_tb:0
1981,L,0,0,0,1,4,190507_010953,2395.0,3,2,2,Infield shift,Standard,0,0_2,fb:0_sb:0_tb:0
