Pitch,MPH,EV (MPH),Pitcher,Batter,Dist,Spin Rate,LA (°),Zone,Date,Count,Inning,Pitch Result,PA Result
CH,83.5,,Max Scherzer,Starling Marte,,1607,,14,2019-08-22,1-2,Bot 3,ball,
SL,87.5,,Max Scherzer,Starling Marte,,2402,,14,2019-08-22,0-2,Bot 3,ball,
SL,86.2,,Max Scherzer,Starling Marte,,2441,,9,2019-08-22,0-1,Bot 3,swinging_strike,
FF,94.1,,Max Scherzer,Starling Marte,,2485,,8,2019-08-22,0-0,Bot 3,called_strike,
CH,84.7,92.3,Max Scherzer,Bryan Reynolds,348,1576,29.7,1,2019-08-22,0-0,Bot 3,hit_into_play,Bryan Reynolds flies out to right fielder Adam Eaton.
FF,93.5,100.8,Max Scherzer,Adam Frazier,380,2497,36.2,6,2019-08-22,0-1,Bot 3,hit_into_play_score,Adam Frazier homers (7) on a fly ball to right field.
CU,79.8,,Max Scherzer,Adam Frazier,,2784,,4,2019-08-22,0-0,Bot 3,called_strike,
FF,93.0,,Max Scherzer,Steven Brault,,2479,,12,2019-08-22,0-2,Bot 3,foul_tip,Steven Brault strikes out on a foul tip.
CU,80.3,71.5,Max Scherzer,Steven Brault,145,2965,17.2,13,2019-08-22,0-1,Bot 3,foul,
FF,91.7,,Max Scherzer,Steven Brault,,2555,,2,2019-08-22,0-0,Bot 3,swinging_strike,
SL,87.2,82.9,Max Scherzer,Elias Diaz,,2312,-20.7,5,2019-08-22,2-2,Bot 2,hit_into_play,"Elias Diaz grounds out, pitcher Max Scherzer to first baseman Howie Kendrick."
SL,86.3,,Max Scherzer,Elias Diaz,,2261,,14,2019-08-22,1-2,Bot 2,ball,
FF,96.1,,Max Scherzer,Elias Diaz,,2416,,2,2019-08-22,1-1,Bot 2,foul,
FF,95.6,77.3,Max Scherzer,Elias Diaz,206,2406,24.8,2,2019-08-22,1-0,Bot 2,foul,
SL,86.9,,Max Scherzer,Elias Diaz,,,,14,2019-08-22,0-0,Bot 2,ball,
SL,86.5,72.5,Max Scherzer,Kevin Newman,259,2283,28.2,14,2019-08-22,1-2,Bot 2,hit_into_play,Kevin Newman flies out to left fielder Juan Soto.
SL,87.2,,Max Scherzer,Kevin Newman,,2347,,13,2019-08-22,0-2,Bot 2,blocked_ball,
FF,94.8,,Max Scherzer,Kevin Newman,,2375,,2,2019-08-22,0-1,Bot 2,foul_tip,
SL,86.8,,Max Scherzer,Kevin Newman,,2287,,14,2019-08-22,0-0,Bot 2,swinging_strike,
CH,84.2,76.3,Max Scherzer,Melky Cabrera,228,1529,18.5,8,2019-08-22,0-1,Bot 2,hit_into_play_no_out,Melky Cabrera singles on a line drive to right fielder Adam Eaton. Colin Moran to 3rd.
FF,93.8,64.8,Max Scherzer,Melky Cabrera,158,2290,60.5,3,2019-08-22,0-0,Bot 2,foul,
FC,91.3,80.6,Max Scherzer,Colin Moran,280,2336,25.8,6,2019-08-22,2-1,Bot 2,hit_into_play_no_out,Colin Moran doubles (22) on a line drive to center fielder Victor Robles.
CH,84.6,,Max Scherzer,Colin Moran,,1730,,13,2019-08-22,1-1,Bot 2,ball,
FF,94.2,,Max Scherzer,Colin Moran,,2471,,12,2019-08-22,1-0,Bot 2,swinging_strike,
FF,94.1,,Max Scherzer,Colin Moran,,2505,,3,2019-08-22,0-0,Bot 2,ball,
FF,93.6,96.4,Max Scherzer,Josh Bell,10,2451,-17.8,2,2019-08-22,0-0,Bot 2,hit_into_play,Josh Bell grounds out to first baseman Howie Kendrick.
FF,96.1,95.9,Max Scherzer,Starling Marte,217,2489,59.0,8,2019-08-22,3-2,Bot 1,hit_into_play,Starling Marte flies out to left fielder Juan Soto.
FF,96.3,,Max Scherzer,Starling Marte,,2492,,14,2019-08-22,2-2,Bot 1,ball,
SL,87.1,,Max Scherzer,Starling Marte,,2406,,14,2019-08-22,2-2,Bot 1,foul,
SL,87.2,,Max Scherzer,Starling Marte,,2338,,7,2019-08-22,2-1,Bot 1,swinging_strike,
FF,95.1,,Max Scherzer,Starling Marte,,2440,,12,2019-08-22,1-1,Bot 1,ball,
FF,93.9,,Max Scherzer,Starling Marte,,2350,,13,2019-08-22,0-1,Bot 1,ball,
SL,86.0,,Max Scherzer,Starling Marte,,2306,,5,2019-08-22,0-0,Bot 1,called_strike,
FF,96.0,87.8,Max Scherzer,Bryan Reynolds,296,2448,25.7,1,2019-08-22,3-2,Bot 1,hit_into_play,Bryan Reynolds lines out to left fielder Juan Soto.
FF,95.2,,Max Scherzer,Bryan Reynolds,,2453,,2,2019-08-22,3-1,Bot 1,foul,
FC,90.7,,Max Scherzer,Bryan Reynolds,,2325,,12,2019-08-22,2-1,Bot 1,ball,
CH,84.8,,Max Scherzer,Bryan Reynolds,,1525,,13,2019-08-22,1-1,Bot 1,ball,
CH,85.4,,Max Scherzer,Bryan Reynolds,,1806,,13,2019-08-22,0-1,Bot 1,ball,
FF,95.1,75.4,Max Scherzer,Bryan Reynolds,213,2524,42.9,2,2019-08-22,0-0,Bot 1,foul,
FC,89.7,96.3,Max Scherzer,Adam Frazier,361,2578,34.9,9,2019-08-22,1-2,Bot 1,hit_into_play,Adam Frazier flies out to right fielder Adam Eaton.
FF,95.5,,Max Scherzer,Adam Frazier,,2496,,11,2019-08-22,1-2,Bot 1,foul,
FC,89.4,93.4,Max Scherzer,Adam Frazier,7,2549,-19.8,6,2019-08-22,1-2,Bot 1,foul,
CH,84.0,,Max Scherzer,Adam Frazier,,1609,,7,2019-08-22,1-1,Bot 1,foul,
FF,94.8,,Max Scherzer,Adam Frazier,,2467,,14,2019-08-22,0-1,Bot 1,ball,
FF,95.3,,Max Scherzer,Adam Frazier,,2557,,1,2019-08-22,0-0,Bot 1,called_strike,
CU,77.5,,Max Scherzer,David Dahl,,2673,,11,2019-07-25,0-0,Top 5,ball,"Charlie Blackmon caught stealing 2nd base, pitcher Max Scherzer to shortstop Trea Turner."
SL,85.0,75.9,Max Scherzer,Trevor Story,196,2196,57.7,14,2019-07-25,3-2,Top 5,hit_into_play,Trevor Story pops out to second baseman Brian Dozier.
FF,95.4,,Max Scherzer,Trevor Story,,2529,,5,2019-07-25,3-2,Top 5,foul,
SL,86.0,,Max Scherzer,Trevor Story,,2475,,14,2019-07-25,2-2,Top 5,blocked_ball,
SL,84.5,,Max Scherzer,Trevor Story,,2188,,4,2019-07-25,2-1,Top 5,called_strike,
SL,84.9,,Max Scherzer,Trevor Story,,2281,,2,2019-07-25,2-0,Top 5,called_strike,
FF,93.5,,Max Scherzer,Trevor Story,,2427,,14,2019-07-25,1-0,Top 5,ball,
FF,94.3,,Max Scherzer,Trevor Story,,2508,,12,2019-07-25,0-0,Top 5,ball,
FF,94.7,,Max Scherzer,Charlie Blackmon,,2471,,12,2019-07-25,3-1,Top 5,ball,Charlie Blackmon walks.
FF,93.1,,Max Scherzer,Charlie Blackmon,,2395,,4,2019-07-25,3-0,Top 5,called_strike,
CU,77.9,,Max Scherzer,Charlie Blackmon,,2791,,14,2019-07-25,2-0,Top 5,ball,
FF,94.0,,Max Scherzer,Charlie Blackmon,,2437,,11,2019-07-25,1-0,Top 5,ball,
FF,92.8,,Max Scherzer,Charlie Blackmon,,2441,,11,2019-07-25,0-0,Top 5,ball,
SL,84.8,,Max Scherzer,Jeff Hoffman,,2343,,6,2019-07-25,0-2,Top 5,swinging_strike,Jeff Hoffman strikes out swinging.
SL,83.7,,Max Scherzer,Jeff Hoffman,,,,7,2019-07-25,0-1,Top 5,called_strike,
FF,91.9,,Max Scherzer,Jeff Hoffman,,2484,,1,2019-07-25,0-0,Top 5,called_strike,
CH,83.6,,Max Scherzer,Tony Wolters,,1685,,14,2019-07-25,1-2,Top 4,swinging_strike,Tony Wolters strikes out swinging.
FF,94.3,,Max Scherzer,Tony Wolters,,2401,,9,2019-07-25,1-1,Top 4,foul,
FF,92.8,,Max Scherzer,Tony Wolters,,2392,,14,2019-07-25,0-1,Top 4,ball,
CU,78.1,,Max Scherzer,Tony Wolters,,2559,,4,2019-07-25,0-0,Top 4,called_strike,
FF,94.5,101.2,Max Scherzer,Garrett Hampson,425,2501,25.2,2,2019-07-25,1-2,Top 4,hit_into_play_score,Garrett Hampson homers (2) on a fly ball to left center field. Ryan McMahon scores.
FF,94.5,,Max Scherzer,Garrett Hampson,,2466,,12,2019-07-25,0-2,Top 4,ball,
SL,84.9,,Max Scherzer,Garrett Hampson,,2372,,14,2019-07-25,0-1,Top 4,swinging_strike,
SL,84.5,,Max Scherzer,Garrett Hampson,,2376,,2,2019-07-25,0-0,Top 4,called_strike,
CH,84.9,96.9,Max Scherzer,Ryan McMahon,217,1611,13.4,4,2019-07-25,1-1,Top 4,hit_into_play_score,Ryan McMahon singles on a line drive to right fielder Adam Eaton. Daniel Murphy scores.
FF,95.6,,Max Scherzer,Ryan McMahon,,2429,,11,2019-07-25,0-1,Top 4,ball,
FF,95.4,,Max Scherzer,Ryan McMahon,,2479,,11,2019-07-25,0-0,Top 4,swinging_strike,
CH,84.3,66.4,Max Scherzer,Raimel Tapia,6,,-13.8,13,2019-07-25,0-2,Top 4,hit_into_play,"Raimel Tapia grounds out, second baseman Brian Dozier to first baseman Matt Adams. Daniel Murphy to 3rd."
CH,82.7,,Max Scherzer,Raimel Tapia,,,,14,2019-07-25,0-1,Top 4,swinging_strike,
FF,96.3,75.8,Max Scherzer,Raimel Tapia,218,2603,39.6,11,2019-07-25,0-0,Top 4,foul,
FC,89.3,78.8,Max Scherzer,Daniel Murphy,157,2316,13.7,14,2019-07-25,1-2,Top 4,hit_into_play_no_out,Daniel Murphy doubles (20) on a line drive to right fielder Adam Eaton.
FC,88.9,66.0,Max Scherzer,Daniel Murphy,176,2406,50.0,4,2019-07-25,1-2,Top 4,foul,
FF,96.8,,Max Scherzer,Daniel Murphy,,2475,,5,2019-07-25,1-2,Top 4,foul,
FF,96.3,,Max Scherzer,Daniel Murphy,,2476,,5,2019-07-25,1-1,Top 4,called_strike,
CU,79.5,,Max Scherzer,Daniel Murphy,,2859,,14,2019-07-25,0-1,Top 4,ball,
FF,92.9,,Max Scherzer,Daniel Murphy,,2374,,6,2019-07-25,0-0,Top 4,called_strike,
CH,86.1,,Max Scherzer,David Dahl,,1716,,8,2019-07-25,2-2,Top 4,swinging_strike,David Dahl strikes out swinging.
CH,84.5,,Max Scherzer,David Dahl,,1622,,14,2019-07-25,1-2,Top 4,ball,
FF,94.6,,Max Scherzer,David Dahl,,2461,,3,2019-07-25,1-1,Top 4,foul,
CU,78.1,,Max Scherzer,David Dahl,,2904,,8,2019-07-25,1-0,Top 4,called_strike,
FF,93.3,,Max Scherzer,David Dahl,,2492,,12,2019-07-25,0-0,Top 4,ball,
FF,96.5,,Max Scherzer,Trevor Story,,2602,,6,2019-07-25,0-2,Top 3,swinging_strike,Trevor Story strikes out swinging.
SL,85.9,,Max Scherzer,Trevor Story,,2287,,9,2019-07-25,0-1,Top 3,swinging_strike,
CU,77.5,,Max Scherzer,Trevor Story,,2747,,12,2019-07-25,0-0,Top 3,called_strike,
CH,84.9,,Max Scherzer,Charlie Blackmon,,1743,,13,2019-07-25,0-2,Top 3,swinging_strike_blocked,Charlie Blackmon strikes out swinging.
CH,83.9,75.5,Max Scherzer,Charlie Blackmon,238,1548,27.3,9,2019-07-25,0-1,Top 3,foul,
FF,89.6,,Max Scherzer,Charlie Blackmon,,2616,,11,2019-07-25,0-0,Top 3,foul,
FF,95.3,93.4,Max Scherzer,Jeff Hoffman,9,2382,-13.9,8,2019-07-25,3-2,Top 3,hit_into_play_no_out,Jeff Hoffman singles on a ground ball to left fielder Juan Soto.
FF,93.6,,Max Scherzer,Jeff Hoffman,,2364,,5,2019-07-25,3-1,Top 3,called_strike,
FF,92.0,,Max Scherzer,Jeff Hoffman,,2314,,7,2019-07-25,3-0,Top 3,called_strike,
FF,92.2,,Max Scherzer,Jeff Hoffman,,2326,,13,2019-07-25,2-0,Top 3,ball,
FF,93.4,,Max Scherzer,Jeff Hoffman,,2329,,11,2019-07-25,1-0,Top 3,ball,
FF,91.4,,Max Scherzer,Jeff Hoffman,,2361,,13,2019-07-25,0-0,Top 3,ball,
FF,92.6,85.9,Max Scherzer,Tony Wolters,314,2384,35.3,2,2019-07-25,0-0,Top 3,hit_into_play,Tony Wolters flies out to left fielder Juan Soto.
SL,85.9,,Max Scherzer,Garrett Hampson,,2400,,8,2019-07-25,2-2,Top 2,swinging_strike,Garrett Hampson strikes out swinging.
FF,94.9,84.8,Max Scherzer,Garrett Hampson,7,2472,-14.1,7,2019-07-25,2-1,Top 2,foul,
FF,94.2,,Max Scherzer,Garrett Hampson,,2471,,14,2019-07-25,1-1,Top 2,ball,
SL,85.4,,Max Scherzer,Garrett Hampson,,2411,,1,2019-07-25,1-0,Top 2,called_strike,
FF,94.5,,Max Scherzer,Garrett Hampson,,2489,,11,2019-07-25,0-0,Top 2,ball,
CH,86.0,,Max Scherzer,Ryan McMahon,,1734,,14,2019-07-25,3-2,Top 2,ball,Ryan McMahon walks.
FF,96.7,78.9,Max Scherzer,Ryan McMahon,231,2437,39.5,11,2019-07-25,3-2,Top 2,foul,
FF,94.9,,Max Scherzer,Ryan McMahon,,2344,,4,2019-07-25,3-1,Top 2,swinging_strike,
FF,95.4,,Max Scherzer,Ryan McMahon,,2454,,11,2019-07-25,2-1,Top 2,ball,
FF,94.8,,Max Scherzer,Ryan McMahon,,2504,,11,2019-07-25,1-1,Top 2,ball,
FF,94.1,,Max Scherzer,Ryan McMahon,,2377,,6,2019-07-25,1-0,Top 2,called_strike,
FF,93.9,,Max Scherzer,Ryan McMahon,,2396,,13,2019-07-25,0-0,Top 2,ball,
FF,94.6,68.8,Max Scherzer,Raimel Tapia,11,2512,-13.1,3,2019-07-25,0-2,Top 2,hit_into_play,"Raimel Tapia grounds out, third baseman Anthony Rendon to first baseman Matt Adams."
CU,77.1,,Max Scherzer,Raimel Tapia,,2822,,13,2019-07-25,0-1,Top 2,swinging_strike,
FF,93.9,,Max Scherzer,Raimel Tapia,,2487,,6,2019-07-25,0-0,Top 2,called_strike,
FF,93.2,83.2,Max Scherzer,Daniel Murphy,141,2427,10.7,4,2019-07-25,0-0,Top 2,hit_into_play,Daniel Murphy lines out to first baseman Matt Adams.
FF,95.6,,Max Scherzer,David Dahl,,2418,,11,2019-07-25,3-2,Top 1,swinging_strike,David Dahl strikes out swinging.
FC,88.6,106.7,Max Scherzer,David Dahl,399,2425,24.7,6,2019-07-25,3-2,Top 1,foul,
FC,89.6,,Max Scherzer,David Dahl,,2409,,14,2019-07-25,2-2,Top 1,ball,
CH,84.7,,Max Scherzer,David Dahl,,1492,,14,2019-07-25,2-1,Top 1,swinging_strike,
FF,94.7,,Max Scherzer,David Dahl,,2441,,14,2019-07-25,1-1,Top 1,ball,
FF,94.9,,Max Scherzer,David Dahl,,2500,,4,2019-07-25,1-0,Top 1,foul,
CU,77.8,,Max Scherzer,David Dahl,,2746,,13,2019-07-25,0-0,Top 1,ball,
FF,96.3,99.1,Max Scherzer,Trevor Story,362,2560,21.1,5,2019-07-25,3-2,Top 1,hit_into_play,Trevor Story lines out to center fielder Victor Robles.
SL,85.9,52.7,Max Scherzer,Trevor Story,108,2537,20.7,8,2019-07-25,3-1,Top 1,foul,
FF,95.3,,Max Scherzer,Trevor Story,,2551,,14,2019-07-25,2-1,Top 1,ball,
FF,94.1,,Max Scherzer,Trevor Story,,2421,,13,2019-07-25,1-1,Top 1,ball,
SL,85.7,,Max Scherzer,Trevor Story,,2545,,4,2019-07-25,1-0,Top 1,called_strike,
FF,94.8,,Max Scherzer,Trevor Story,,2568,,14,2019-07-25,0-0,Top 1,ball,
FC,88.4,,Max Scherzer,Charlie Blackmon,,2655,,14,2019-07-25,0-2,Top 1,swinging_strike,Charlie Blackmon strikes out swinging.
FF,94.3,,Max Scherzer,Charlie Blackmon,,2711,,12,2019-07-25,0-1,Top 1,swinging_strike,
FF,92.7,,Max Scherzer,Charlie Blackmon,,2583,,13,2019-07-25,0-0,Top 1,called_strike,
FF,96.1,,Max Scherzer,Cam Gallagher,,2524,,12,2019-07-06,1-2,Top 7,swinging_strike,Cam Gallagher strikes out swinging.
FF,94.8,,Max Scherzer,Cam Gallagher,,2578,,12,2019-07-06,0-2,Top 7,ball,
SL,83.6,,Max Scherzer,Cam Gallagher,,,,14,2019-07-06,0-1,Top 7,swinging_strike,
SL,83.1,,Max Scherzer,Cam Gallagher,,,,9,2019-07-06,0-0,Top 7,called_strike,
SL,86.3,,Max Scherzer,Nicky Lopez,,2514,,9,2019-07-06,1-2,Top 7,swinging_strike,Nicky Lopez strikes out swinging.
SL,87.9,,Max Scherzer,Nicky Lopez,,2570,,14,2019-07-06,0-2,Top 7,ball,
CH,83.5,,Max Scherzer,Nicky Lopez,,1653,,9,2019-07-06,0-1,Top 7,swinging_strike,
CU,74.6,,Max Scherzer,Nicky Lopez,,2698,,8,2019-07-06,0-0,Top 7,swinging_strike,
FC,88.4,,Max Scherzer,Lucas Duda,,2536,,14,2019-07-06,1-2,Top 7,swinging_strike,Lucas Duda strikes out swinging.
FF,93.2,,Max Scherzer,Lucas Duda,,2439,,5,2019-07-06,1-1,Top 7,swinging_strike,
CH,80.5,,Max Scherzer,Lucas Duda,,1379,,14,2019-07-06,0-1,Top 7,ball,
FF,90.8,,Max Scherzer,Lucas Duda,,2239,,2,2019-07-06,0-0,Top 7,foul,
SL,84.1,93.4,Max Scherzer,Jorge Soler,16,2382,-10.6,5,2019-07-06,0-0,Top 6,hit_into_play,"Jorge Soler grounds into a force out, shortstop Trea Turner to second baseman Howie Kendrick. Alex Gordon out at 2nd."
FF,95.1,80.0,Max Scherzer,Hunter Dozier,,2465,69.0,2,2019-07-06,2-0,Top 6,hit_into_play,Hunter Dozier pops out to first baseman Matt Adams in foul territory.
FF,95.8,,Max Scherzer,Hunter Dozier,,2411,,14,2019-07-06,1-0,Top 6,ball,
FF,94.6,,Max Scherzer,Hunter Dozier,,2435,,12,2019-07-06,0-0,Top 6,ball,
CH,83.7,86.5,Max Scherzer,Alex Gordon,183,1523,11.7,11,2019-07-06,2-2,Top 6,hit_into_play_no_out,Alex Gordon singles on a line drive to left fielder Juan Soto.
CU,78.0,,Max Scherzer,Alex Gordon,,2859,,14,2019-07-06,1-2,Top 6,ball,
FC,88.6,,Max Scherzer,Alex Gordon,,2515,,11,2019-07-06,0-2,Top 6,ball,
FF,94.3,,Max Scherzer,Alex Gordon,,2358,,3,2019-07-06,0-1,Top 6,called_strike,
FF,94.4,,Max Scherzer,Alex Gordon,,2408,,2,2019-07-06,0-0,Top 6,called_strike,
FF,93.9,98.2,Max Scherzer,Adalberto Mondesi,19,2426,-9.4,2,2019-07-06,2-1,Top 6,hit_into_play,"Adalberto Mondesi grounds out, second baseman Howie Kendrick to first baseman Matt Adams."
CU,76.8,,Max Scherzer,Adalberto Mondesi,,2714,,8,2019-07-06,2-0,Top 6,swinging_strike,
FF,93.3,,Max Scherzer,Adalberto Mondesi,,2439,,14,2019-07-06,1-0,Top 6,ball,
FF,92.8,,Max Scherzer,Adalberto Mondesi,,2448,,13,2019-07-06,0-0,Top 6,ball,
FF,98.4,,Max Scherzer,Whit Merrifield,,2594,,5,2019-07-06,2-2,Top 5,swinging_strike,Whit Merrifield strikes out swinging.
FF,97.6,70.2,Max Scherzer,Whit Merrifield,135,2594,70.2,1,2019-07-06,2-2,Top 5,foul,
SL,86.1,,Max Scherzer,Whit Merrifield,,2432,,14,2019-07-06,1-2,Top 5,ball,
SL,86.4,,Max Scherzer,Whit Merrifield,,2377,,14,2019-07-06,0-2,Top 5,ball,
SL,85.5,,Max Scherzer,Whit Merrifield,,2344,,1,2019-07-06,0-1,Top 5,foul_tip,
CU,75.3,,Max Scherzer,Whit Merrifield,,2839,,8,2019-07-06,0-0,Top 5,called_strike,
SL,86.4,101.2,Max Scherzer,Glenn Sparkman,9,2328,-14.2,6,2019-07-06,1-2,Top 5,hit_into_play,"Glenn Sparkman grounds out, second baseman Howie Kendrick to first baseman Matt Adams."
SL,85.1,,Max Scherzer,Glenn Sparkman,,2308,,1,2019-07-06,1-1,Top 5,called_strike,
SL,83.6,,Max Scherzer,Glenn Sparkman,,2501,,14,2019-07-06,0-1,Top 5,ball,
FF,92.5,,Max Scherzer,Glenn Sparkman,,2386,,6,2019-07-06,0-0,Top 5,called_strike,
SL,83.0,89.7,Max Scherzer,Cam Gallagher,29,2545,-3.8,6,2019-07-06,0-1,Top 5,hit_into_play,"Cam Gallagher grounds out, second baseman Howie Kendrick to first baseman Matt Adams."
FF,93.6,,Max Scherzer,Cam Gallagher,,2391,,3,2019-07-06,0-0,Top 5,called_strike,
FF,95.6,94.6,Max Scherzer,Nicky Lopez,326,2412,21.0,3,2019-07-06,0-1,Top 4,hit_into_play,Nicky Lopez lines out to right fielder Adam Eaton.
CU,76.9,,Max Scherzer,Nicky Lopez,,2709,,1,2019-07-06,0-0,Top 4,called_strike,
FF,97.9,,Max Scherzer,Lucas Duda,,2401,,4,2019-07-06,2-2,Top 4,swinging_strike,Lucas Duda strikes out swinging.
CU,77.0,,Max Scherzer,Lucas Duda,,2775,,7,2019-07-06,2-1,Top 4,called_strike,
FF,94.9,,Max Scherzer,Lucas Duda,,2345,,14,2019-07-06,1-1,Top 4,ball,
CH,83.1,,Max Scherzer,Lucas Duda,,1435,,13,2019-07-06,0-1,Top 4,ball,
CU,76.5,,Max Scherzer,Lucas Duda,,2491,,13,2019-07-06,0-0,Top 4,called_strike,
SL,86.2,,Max Scherzer,Jorge Soler,,2429,,14,2019-07-06,1-2,Top 4,swinging_strike_blocked,Jorge Soler strikes out swinging.
FF,95.5,,Max Scherzer,Jorge Soler,,2518,,8,2019-07-06,1-1,Top 4,called_strike,
SL,84.9,,Max Scherzer,Jorge Soler,,2500,,9,2019-07-06,1-0,Top 4,swinging_strike,
FF,93.9,,Max Scherzer,Jorge Soler,,2534,,14,2019-07-06,0-0,Top 4,ball,
FF,95.1,81.2,Max Scherzer,Hunter Dozier,272,2543,45.5,13,2019-07-06,0-1,Top 3,hit_into_play,Hunter Dozier flies out to left fielder Juan Soto.
SL,83.8,,Max Scherzer,Hunter Dozier,,2273,,5,2019-07-06,0-0,Top 3,called_strike,
FF,96.0,94.7,Max Scherzer,Alex Gordon,140,2424,5.9,7,2019-07-06,1-2,Top 3,hit_into_play_no_out,Alex Gordon doubles (22) on a line drive to left fielder Juan Soto.
FC,88.5,,Max Scherzer,Alex Gordon,,2396,,14,2019-07-06,0-2,Top 3,ball,
FC,88.2,,Max Scherzer,Alex Gordon,,2488,,4,2019-07-06,0-2,Top 3,foul,
FF,97.5,,Max Scherzer,Alex Gordon,,2449,,13,2019-07-06,0-2,Top 3,foul,
CU,76.2,,Max Scherzer,Alex Gordon,,2750,,11,2019-07-06,0-1,Top 3,swinging_strike,
FF,94.5,,Max Scherzer,Alex Gordon,,2354,,9,2019-07-06,0-0,Top 3,called_strike,
FC,89.6,,Max Scherzer,Adalberto Mondesi,,2620,,14,2019-07-06,1-2,Top 3,swinging_strike,Adalberto Mondesi strikes out swinging.
CH,81.9,,Max Scherzer,Adalberto Mondesi,,1299,,13,2019-07-06,0-2,Top 3,ball,
CH,83.6,,Max Scherzer,Adalberto Mondesi,,1606,,13,2019-07-06,0-1,Top 3,swinging_strike,
FC,89.5,,Max Scherzer,Adalberto Mondesi,,2412,,14,2019-07-06,0-0,Top 3,swinging_strike,
FF,95.9,,Max Scherzer,Whit Merrifield,,2484,,12,2019-07-06,1-2,Top 3,swinging_strike,Whit Merrifield strikes out swinging.
SL,85.0,,Max Scherzer,Whit Merrifield,,2419,,8,2019-07-06,1-2,Top 3,foul,
CH,82.8,,Max Scherzer,Whit Merrifield,,1472,,13,2019-07-06,1-2,Top 3,foul,
FF,94.7,,Max Scherzer,Whit Merrifield,,2487,,9,2019-07-06,1-1,Top 3,called_strike,
SL,83.2,,Max Scherzer,Whit Merrifield,,,,8,2019-07-06,1-0,Top 3,swinging_strike,
FF,92.6,,Max Scherzer,Whit Merrifield,,2397,,1,2019-07-06,0-0,Top 3,ball,
SL,84.1,84.8,Max Scherzer,Glenn Sparkman,21,2136,-2.8,8,2019-07-06,0-1,Top 2,hit_into_play,"Glenn Sparkman grounds out, third baseman Anthony Rendon to first baseman Matt Adams."
FF,93.2,,Max Scherzer,Glenn Sparkman,,2372,,6,2019-07-06,0-0,Top 2,called_strike,
FF,94.8,97.4,Max Scherzer,Cam Gallagher,265,2464,11.6,12,2019-07-06,0-1,Top 2,hit_into_play_no_out,Cam Gallagher singles on a line drive to right fielder Adam Eaton.
SL,84.1,,Max Scherzer,Cam Gallagher,,2287,,3,2019-07-06,0-0,Top 2,called_strike,
FC,90.0,85.2,Max Scherzer,Nicky Lopez,307,2436,23.8,1,2019-07-06,1-2,Top 2,hit_into_play,Nicky Lopez lines out to center fielder Victor Robles.
FF,94.2,78.4,Max Scherzer,Nicky Lopez,142,2376,77.5,1,2019-07-06,1-1,Top 2,foul,
FC,89.6,,Max Scherzer,Nicky Lopez,,2394,,11,2019-07-06,0-1,Top 2,ball,
FF,93.3,76.1,Max Scherzer,Nicky Lopez,86,2519,7.4,14,2019-07-06,0-0,Top 2,foul,
CH,81.9,,Max Scherzer,Lucas Duda,,1364,,13,2019-07-06,1-2,Top 2,swinging_strike,Lucas Duda strikes out swinging.
FC,88.9,,Max Scherzer,Lucas Duda,,2504,,14,2019-07-06,0-2,Top 2,ball,
CU,77.8,,Max Scherzer,Lucas Duda,,2738,,8,2019-07-06,0-1,Top 2,called_strike,
FF,92.1,,Max Scherzer,Lucas Duda,,2343,,6,2019-07-06,0-0,Top 2,foul,
SL,84.1,,Max Scherzer,Jorge Soler,,,,14,2019-07-06,0-2,Top 1,swinging_strike_blocked,Jorge Soler strikes out swinging.
SL,84.7,,Max Scherzer,Jorge Soler,,2271,,9,2019-07-06,0-1,Top 1,swinging_strike,
SL,84.5,,Max Scherzer,Jorge Soler,,2165,,1,2019-07-06,0-0,Top 1,called_strike,
FF,96.1,92.9,Max Scherzer,Hunter Dozier,318,2388,40.7,5,2019-07-06,2-2,Top 1,hit_into_play,Hunter Dozier flies out to center fielder Victor Robles. Whit Merrifield to 3rd.
SL,84.6,,Max Scherzer,Hunter Dozier,,2295,,7,2019-07-06,2-1,Top 1,called_strike,
FF,94.8,,Max Scherzer,Hunter Dozier,,2292,,11,2019-07-06,1-1,Top 1,ball,
FF,96.3,79.0,Max Scherzer,Hunter Dozier,216,2397,55.2,6,2019-07-06,1-0,Top 1,foul,
FF,95.6,,Max Scherzer,Hunter Dozier,,2312,,12,2019-07-06,0-0,Top 1,ball,
FF,96.5,,Max Scherzer,Alex Gordon,,2378,,12,2019-07-06,3-2,Top 1,ball,Alex Gordon walks.
CH,83.3,,Max Scherzer,Alex Gordon,,1316,,13,2019-07-06,3-2,Top 1,foul,
FC,89.0,,Max Scherzer,Alex Gordon,,2450,,14,2019-07-06,2-2,Top 1,ball,
FF,96.7,,Max Scherzer,Alex Gordon,,2285,,1,2019-07-06,2-2,Top 1,foul,
FF,96.5,,Max Scherzer,Alex Gordon,,2271,,11,2019-07-06,1-2,Top 1,ball,
FF,96.4,77.0,Max Scherzer,Alex Gordon,273,2340,33.4,12,2019-07-06,1-1,Top 1,foul,
CH,81.6,,Max Scherzer,Alex Gordon,,1308,,11,2019-07-06,0-1,Top 1,ball,
FF,96.1,76.2,Max Scherzer,Alex Gordon,178,2422,21.8,2,2019-07-06,0-0,Top 1,foul,
CH,83.9,,Max Scherzer,Adalberto Mondesi,,1626,,13,2019-07-06,2-2,Top 1,swinging_strike,Adalberto Mondesi strikes out swinging. Whit Merrifield steals (13) 2nd base.
