Pitch,MPH,EV (MPH),Pitcher,Batter,Dist,Spin Rate,LA (°),Zone,Date,Count,Inning,Pitch Result,PA Result
CU,79.8,,Max Scherzer,Jean Segura,,2785,,6,2019-09-24,0-0,Top 3,called_strike,
CH,85.3,,Max Scherzer,Logan Morrison,,3383,,13,2019-09-24,1-2,Top 3,swinging_strike,Logan Morrison strikes out swinging.
CH,84.1,,Max Scherzer,Logan Morrison,,1425,,7,2019-09-24,1-1,Top 3,foul,
FF,94.3,,Max Scherzer,Logan Morrison,,2612,,11,2019-09-24,1-0,Top 3,foul_tip,
FF,94.3,,Max Scherzer,Logan Morrison,,2548,,12,2019-09-24,0-0,Top 3,ball,
CH,83.7,82.0,Max Scherzer,Cesar Hernandez,65,1466,3.6,11,2019-09-24,0-0,Top 3,hit_into_play,"Cesar Hernandez grounds out, second baseman Asdrubal Cabrera to first baseman Matt Adams."
SL,85.8,,Max Scherzer,Aaron Nola,,2292,,2,2019-09-24,2-2,Top 2,called_strike,Aaron Nola called out on strikes.
FF,94.0,77.8,Max Scherzer,Aaron Nola,292,2407,33.6,11,2019-09-24,2-1,Top 2,foul,
FF,93.9,,Max Scherzer,Aaron Nola,,1240,,14,2019-09-24,1-1,Top 2,ball,
FF,94.2,,Max Scherzer,Aaron Nola,,2452,,5,2019-09-24,1-0,Top 2,foul,
FF,93.5,,Max Scherzer,Aaron Nola,,2422,,14,2019-09-24,0-0,Top 2,ball,
CH,84.4,,Max Scherzer,Andrew Knapp,,1555,,13,2019-09-24,1-2,Top 2,swinging_strike_blocked,Andrew Knapp strikes out swinging.
FC,88.9,95.3,Max Scherzer,Andrew Knapp,56,2429,0.8,5,2019-09-24,1-2,Top 2,foul,
CH,84.5,63.8,Max Scherzer,Andrew Knapp,4,1546,-26.8,13,2019-09-24,1-2,Top 2,foul,
FF,95.0,73.8,Max Scherzer,Andrew Knapp,207,2331,43.7,12,2019-09-24,1-2,Top 2,foul,
FF,95.2,80.8,Max Scherzer,Andrew Knapp,221,2473,52.8,2,2019-09-24,1-2,Top 2,foul,
FF,94.8,,Max Scherzer,Andrew Knapp,,2457,,5,2019-09-24,1-1,Top 2,called_strike,
CU,81.0,,Max Scherzer,Andrew Knapp,,2755,,2,2019-09-24,1-0,Top 2,called_strike,
CU,79.7,,Max Scherzer,Andrew Knapp,,2745,,11,2019-09-24,0-0,Top 2,ball,
SL,85.8,69.8,Max Scherzer,Maikel Franco,165,2545,13.5,14,2019-09-24,2-2,Top 2,hit_into_play,Maikel Franco lines out to shortstop Trea Turner.
FF,94.9,,Max Scherzer,Maikel Franco,,2547,,9,2019-09-24,2-1,Top 2,called_strike,
FF,93.2,,Max Scherzer,Maikel Franco,,2485,,14,2019-09-24,1-1,Top 2,ball,
SL,86.5,,Max Scherzer,Maikel Franco,,2444,,9,2019-09-24,1-0,Top 2,swinging_strike,
SL,85.7,,Max Scherzer,Maikel Franco,,2428,,14,2019-09-24,0-0,Top 2,ball,
CH,85.4,,Max Scherzer,Adam Haseley,,1613,,7,2019-09-24,1-2,Top 1,called_strike,Adam Haseley called out on strikes.
FC,90.7,,Max Scherzer,Adam Haseley,,2386,,14,2019-09-24,0-2,Top 1,ball,
FF,95.0,70.5,Max Scherzer,Adam Haseley,183,2498,35.0,3,2019-09-24,0-2,Top 1,foul,
CH,85.3,,Max Scherzer,Adam Haseley,,1696,,13,2019-09-24,0-1,Top 1,swinging_strike,
